relative_ms,protocol,can_id,byte0,byte1,byte2,byte3,byte4,byte5,byte6,byte7
0,CAN,256,65,94,102,83,148,255,0,0
12,CAN,512,209,16,127,2,164,88,0,0
25,CAN,256,102,96,50,93,86,255,0,0
37,CAN,512,236,16,85,252,174,84,0,0
50,CAN,256,14,103,54,115,123,255,0,0
62,CAN,512,42,16,98,1,165,79,0,0
75,CAN,256,21,101,63,95,72,255,0,0
87,CAN,512,51,16,177,1,154,91,0,0
100,CAN,256,136,71,79,126,230,0,0,0
112,CAN,512,67,16,187,6,160,83,0,0
125,CAN,256,232,88,92,95,47,0,0,0
137,CAN,512,145,16,210,255,154,91,0,0
150,CAN,256,51,93,44,76,25,1,0,0
162,CAN,512,135,16,141,255,179,88,0,0
175,CAN,256,132,109,71,121,115,255,0,0
187,CAN,512,135,16,69,254,171,89,0,0
200,CAN,256,30,70,53,109,245,0,0,0
212,CAN,512,175,16,84,255,151,72,0,0
225,CAN,256,83,79,88,106,23,255,0,0
237,CAN,512,149,16,172,255,167,87,0,0
250,CAN,256,63,82,93,131,140,255,0,0
262,CAN,512,211,15,119,254,158,82,0,0
275,CAN,256,110,75,74,135,216,0,0,0
287,CAN,512,64,16,76,253,154,87,0,0
300,CAN,256,35,97,61,106,26,1,0,0
312,CAN,512,182,16,176,1,153,76,0,0
325,CAN,256,224,100,59,85,241,255,0,0
337,CAN,512,198,16,173,1,156,81,0,0
350,CAN,256,229,95,48,71,66,255,0,0
362,CAN,512,105,15,179,253,157,81,0,0
375,CAN,256,14,92,13,133,94,0,0,0
387,CAN,512,100,16,158,1,164,87,0,0
400,CAN,256,132,87,71,125,39,0,0,0
412,CAN,512,204,15,127,253,154,84,0,0
425,CAN,256,164,104,43,94,205,0,0,0
437,CAN,512,92,16,43,0,166,90,0,0
450,CAN,256,13,101,76,80,75,0,0,0
462,CAN,512,35,16,138,1,160,86,0,0
475,CAN,256,105,104,54,124,26,2,0,0
487,CAN,512,246,15,15,0,157,85,0,0
500,CAN,256,5,92,53,76,98,0,0,0
512,CAN,512,160,16,225,255,167,81,0,0
525,CAN,256,218,106,69,77,205,0,0,0
537,CAN,512,28,17,48,254,161,80,0,0
550,CAN,256,80,92,59,81,197,255,0,0
562,CAN,512,96,16,19,255,163,97,0,0
575,CAN,256,196,88,64,102,213,0,0,0
587,CAN,512,104,16,36,3,175,81,0,0
600,CAN,256,148,94,53,76,43,255,0,0
612,CAN,512,199,16,243,252,161,87,0,0
625,CAN,256,183,101,45,102,38,0,0,0
637,CAN,512,157,16,161,1,143,88,0,0
650,CAN,256,1,107,87,113,80,0,0,0
662,CAN,512,93,16,6,0,150,90,0,0
675,CAN,256,65,92,55,86,82,0,0,0
687,CAN,512,78,16,31,255,144,82,0,0
700,CAN,256,224,96,58,94,191,255,0,0
712,CAN,512,185,16,22,0,154,75,0,0
725,CAN,256,178,88,59,100,225,255,0,0
737,CAN,512,61,16,22,254,142,70,0,0
750,CAN,256,117,101,49,92,182,0,0,0
762,CAN,512,197,15,60,254,152,86,0,0
775,CAN,256,33,93,35,87,52,255,0,0
787,CAN,512,54,16,232,0,172,87,0,0
800,CAN,256,25,93,54,97,98,0,0,0
812,CAN,512,82,16,44,255,165,83,0,0
825,CAN,256,181,91,59,123,58,255,0,0
837,CAN,512,28,16,190,255,163,82,0,0
850,CAN,256,208,127,44,59,96,0,0,0
862,CAN,512,102,16,89,0,155,78,0,0
875,CAN,256,32,103,40,68,125,255,0,0
887,CAN,512,205,15,22,2,150,75,0,0
900,CAN,256,121,104,41,78,59,0,0,0
912,CAN,512,117,16,6,255,145,82,0,0
925,CAN,256,220,107,56,117,39,255,0,0
937,CAN,512,239,16,125,253,158,81,0,0
950,CAN,256,62,79,58,127,157,255,0,0
962,CAN,512,104,16,0,1,143,80,0,0
975,CAN,256,5,82,48,98,245,255,0,0
987,CAN,512,90,16,158,255,160,99,0,0
1000,CAN,256,20,90,79,84,16,1,0,0
1012,CAN,512,116,16,218,252,160,79,0,0
1025,CAN,256,48,86,51,92,46,255,0,0
1037,CAN,512,209,16,82,1,163,85,0,0
1050,CAN,256,85,88,52,126,21,1,0,0
1062,CAN,512,113,16,77,254,157,81,0,0
1075,CAN,256,37,103,34,93,27,255,0,0
1087,CAN,512,143,16,22,253,167,84,0,0
1100,CAN,256,45,86,66,119,64,255,0,0
1112,CAN,512,126,16,238,253,148,76,0,0
1125,CAN,256,40,104,51,114,198,255,0,0
1137,CAN,512,87,16,161,4,152,81,0,0
1150,CAN,256,108,71,64,94,186,0,0,0
1162,CAN,512,206,16,68,1,171,89,0,0
1175,CAN,256,252,105,41,82,49,255,0,0
1187,CAN,512,90,16,195,3,155,83,0,0
1200,CAN,256,131,95,73,101,37,0,0,0
